A,25-Jan-2021,126.69,127.48,124.43,125.48,1365400
AA,25-Jan-2021,19.26,19.44,18.58,19.34,7921300
AAI-B,25-Jan-2021,21.69,21.69,21.69,21.69,100
AAI-C,25-Jan-2021,21.5,21.525,21.49,21.51,3800
AAIC,25-Jan-2021,3.7,3.86,3.7,3.81,222100
AAN,25-Jan-2021,20.56,21.49,20.51,20.89,315600
AAP,25-Jan-2021,163.68,164.6736,156.385,159.66,1846800
AAT,25-Jan-2021,28.62,29.18,28.26,28.61,193300
AB,25-Jan-2021,36.57,37,36,36.6,587700
ABB,25-Jan-2021,30.11,30.25,29.82,30.09,2030500
ABBV,25-Jan-2021,109.73,111.23,109.21,110.5,6928000
ABC,25-Jan-2021,107.09,107.52,106,106.87,693100
ABEV,25-Jan-2021,2.83,2.85,2.7742,2.85,22272400
ABG,25-Jan-2021,160.51,163.62,155.32,156.83,506000
ABM,25-Jan-2021,39.36,40.24,39.08,39.56,339400
ABR,25-Jan-2021,14.55,14.6,14.22,14.37,1363800
ABR-A,25-Jan-2021,25.94,25.94,25.8547,25.89,900
ABR-B,25-Jan-2021,25.33,25.3601,25.32,25.34,2800
ABR-C,25-Jan-2021,25.8401,26.68,25.8401,26.1585,12800
ABT,25-Jan-2021,113.06,115.4,113.01,114.72,4689000
AC,25-Jan-2021,34.84,35.5,34.62,35,7900
ACA,25-Jan-2021,63.01,63.01,60.33,61.39,177700
ACB,25-Jan-2021,10.64,10.9,10.04,10.16,22227500
ACC,25-Jan-2021,41.5,42.44,41,41.8,1044900
ACCO,25-Jan-2021,8.73,8.74,8.48,8.63,353000
ACEL,25-Jan-2021,10.21,10.26,9.95,9.98,209100
ACH,25-Jan-2021,8.35,8.42,8.2906,8.42,56300
ACI,25-Jan-2021,17.41,19.28,17.39,18.59,5397300
ACI.U,25-Jan-2021,11.27,11.47,11.14,11.4,248900
ACI.W,25-Jan-2021,1.9,1.96,1.8,1.88,324700
ACIC,25-Jan-2021,10.74,10.87,10.53,10.73,505300
ACM,25-Jan-2021,53.7,53.89,52.433,53.66,513300
ACN,25-Jan-2021,251.86,253.79,249.06,252.04,1921600
ACN.U,25-Jan-2021,11.54,11.85,11.36,11.36,63600
ACN.W,25-Jan-2021,1.89,1.95,1.71,1.75,171500
ACND,25-Jan-2021,10.61,10.85,10.49,10.54,158500
ACP,25-Jan-2021,10.9,10.99,10.89,10.99,78700
ACRE,25-Jan-2021,12.02,12.12,11.76,11.83,212300
ACV,25-Jan-2021,34.13,34.37,34,34.05,42600
ADC,25-Jan-2021,64.71,65.87,64.42,64.59,377400
ADCT,25-Jan-2021,33.31,34.406,33.31,34.05,397200
ADE.U,25-Jan-2021,10.45,10.55,10.39,10.45,126700
ADM,25-Jan-2021,52.82,53.69,52.53,53.09,2556400
ADNT,25-Jan-2021,34.93,35.23,33.02,33.75,693500
ADS,25-Jan-2021,69.47,70.38,67.7,69.26,566000
ADT,25-Jan-2021,9,9.11,8.76,8.9,3619900
ADX,25-Jan-2021,17.68,17.75,17.55,17.72,200900
AEB,25-Jan-2021,25.19,25.2698,25.17,25.23,13400
AEE,25-Jan-2021,72.32,75.15,72.12,75.08,2551500
AEFC,25-Jan-2021,26.23,26.42,26.2,26.31,63700
AEG,25-Jan-2021,4.04,4.09,4,4.04,1900600
AEL,25-Jan-2021,29.39,30.03,29.12,29.6,570500
AEL-A,25-Jan-2021,26.18,26.2,25.9708,26.18,24300
AEL-B,25-Jan-2021,27.14,27.17,27.01,27.01,29400
AEM,25-Jan-2021,71.32,72.47,69.84,71.12,797400
AENZ,25-Jan-2021,2.49,2.49,2.28,2.34,11500
AEO,25-Jan-2021,25,25.46,23.31,23.83,13137700
AER,25-Jan-2021,41.2,41.39,38.84,41.26,1418400
AES,25-Jan-2021,26.86,27.2097,25.91,26.23,10717400
AFB,25-Jan-2021,14.15,14.2,14.1,14.17,65800
AFC,25-Jan-2021,25.85,26.04,25.8,25.9,7600
AFG,25-Jan-2021,84.49,86.07,84.02,86.03,564900
AFGB,25-Jan-2021,27.56,27.56,27.34,27.45,8800
AFGC,25-Jan-2021,27.25,27.25,26.83,26.95,54800
AFGD,25-Jan-2021,27.76,27.78,27.67,27.68,12100
AFGE,25-Jan-2021,27.11,27.11,27.01,27.01,500
AFI,25-Jan-2021,4.24,4.24,3.96,4.17,149000
AFL,25-Jan-2021,45.95,46.61,45.72,46.57,5031600
AFT,25-Jan-2021,14.66,14.69,14.54,14.54,38200
AG,25-Jan-2021,14.14,14.91,13.8501,13.95,21610000
AGCB,25-Jan-2021,14.07,14.15,13.09,13.09,830600
AGCO,25-Jan-2021,113.8,114.99,111.19,112.14,848100
AGD,25-Jan-2021,10.85,10.85,10.69,10.8,35900
AGI,25-Jan-2021,8.04,8.07,7.75,7.91,2233600
AGM,25-Jan-2021,78.63,79.48,77.01,79.17,32100
AGM-C,25-Jan-2021,26.855,26.855,26.855,26.855,200
AGM-D,25-Jan-2021,26.92,27.19,26.92,27.11,27900
AGM-E,25-Jan-2021,27.05,27.165,26.84,27.165,6900
AGM-F,25-Jan-2021,26.7,26.97,26.47,26.5,19400
AGM.A,25-Jan-2021,71.76,71.76,71.76,71.76,100
AGO,25-Jan-2021,35.79,37.07,35.31,37,597500
